iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
691,2818.00,5012.00,7307.00,646
692,2667.00,4700.00,7663.00,646
693,2783.00,4699.00,7876.00,646
694,2567.00,4731.00,7530.00,646
695,2533.00,5078.00,7382.00,646
696,2647.00,5035.00,7479.00,646
697,2520.00,4642.00,7587.00,646
698,2560.00,4805.00,7763.00,646
699,2578.00,4868.00,7161.00,646
700,2536.00,4988.00,7376.00,646
701,2547.00,6935.00,7561.00,646
702,2581.00,4743.00,8011.00,646
703,2669.00,4886.00,23395.00,646
704,3245.00,5004.00,7998.00,646
705,2528.00,5116.00,8193.00,646
706,2665.00,5207.00,7455.00,646
707,2527.00,4648.00,8297.00,646
708,2986.00,4872.00,7696.00,646
709,2612.00,5003.00,7476.00,646
710,2653.00,5010.00,7632.00,646
711,2621.00,5180.00,7363.00,646
712,2689.00,4826.00,7690.00,646
713,2656.00,4741.00,7787.00,646
714,2632.00,4845.00,7247.00,646
715,2522.00,5001.00,7573.00,646
716,2503.00,5113.00,7406.00,646
717,2496.00,4624.00,7612.00,646
718,2547.00,4856.00,7658.00,646
719,2726.00,4784.00,7286.00,646
720,2622.00,5140.00,7655.00,646
721,2534.00,5058.00,8011.00,646
722,2811.00,5020.00,8019.00,646
723,2566.00,4826.00,7847.00,646
724,2625.00,4851.00,7271.00,646
725,2527.00,5168.00,7576.00,646
726,2528.00,5221.00,7296.00,646
727,2546.00,4736.00,7586.00,646
